,Date,Total Cases,Total Deaths
173,Aug 06$ 2020,195633,30312
174,Aug 07$ 2020,197921,30324
175,Aug 08$ 2020,199956,30325
176,Aug 09$ 2020,201990,30326
177,Aug 10$ 2020,202775,30340
178,Aug 11$ 2020,204172,30354
179,Aug 12$ 2020,206696,30371
180,Aug 13$ 2020,209365,30388
181,Aug 14$ 2020,212211,30405
182,Aug 15$ 2020,215521,30409
183,Aug 16$ 2020,218536,30410
184,Aug 17$ 2020,219029,30434
185,Aug 18$ 2020,221267,30451
186,Aug 19$ 2020,225043,30468
187,Aug 20$ 2020,229814,30480
188,Aug 21$ 2020,234400,30503
189,Aug 22$ 2020,238002,30512
190,Aug 23$ 2020,242899,30513
191,Aug 24$ 2020,244854,30528
192,Aug 25$ 2020,248158,30544
193,Aug 26$ 2020,253587,30544
194,Aug 27$ 2020,259698,30576
195,Aug 28$ 2020,267077,30596
196,Aug 29$ 2020,272530,30602
197,Aug 30$ 2020,277943,30606
198,Aug 31$ 2020,281025,30635
199,Sep 01$ 2020,286007,30661
200,Sep 02$ 2020,293024,30686
201,Sep 03$ 2020,300181,30686
202,Sep 04$ 2020,309156,30686
203,Sep 05$ 2020,317706,30698
204,Sep 06$ 2020,324777,30701
205,Sep 07$ 2020,328980,30726
206,Sep 08$ 2020,335524,30764
207,Sep 09$ 2020,344101,30794
208,Sep 10$ 2020,353944,30813
209,Sep 11$ 2020,363350,30893
210,Sep 12$ 2020,373911,30910
211,Sep 13$ 2020,381094,30916
212,Sep 14$ 2020,387252,30950
213,Sep 15$ 2020,395104,30999
214,Sep 16$ 2020,404888,31045
215,Sep 17$ 2020,415481,31095
216,Sep 18$ 2020,428696,31248
217,Sep 19$ 2020,442194,31274
218,Sep 20$ 2020,452763,31285
219,Sep 21$ 2020,458061,31338
220,Sep 22$ 2020,468069,31416
221,Sep 23$ 2020,481141,31459
222,Sep 24$ 2020,497237,31511
223,Sep 25$ 2020,513034,31661
224,Sep 26$ 2020,527446,31700
225,Sep 27$ 2020,538569,31727
226,Sep 28$ 2020,542639,31808
227,Sep 29$ 2020,550690,31893
228,Sep 30$ 2020,563535,31956
229,Oct 01$ 2020,577505,32019
230,Oct 02$ 2020,589653,32149
231,Oct 03$ 2020,606625,32198
232,Oct 04$ 2020,619190,32230
233,Oct 05$ 2020,624274,32299
234,Oct 06$ 2020,634763,32365
235,Oct 07$ 2020,653509,32445
236,Oct 08$ 2020,671638,32521
237,Oct 09$ 2020,691977,32630
238,Oct 10$ 2020,718873,32684
239,Oct 11$ 2020,734974,32730
240,Oct 12$ 2020,743479,32825
241,Oct 13$ 2020,756472,32933
242,Oct 14$ 2020,779063,33037
243,Oct 15$ 2020,809684,33125
244,Oct 16$ 2020,834770,33303
245,Oct 17$ 2020,867197,33392
246,Oct 18$ 2020,897034,33477
247,Oct 19$ 2020,910277,33623
248,Oct 20$ 2020,930745,33885
249,Oct 21$ 2020,957421,34048
250,Oct 22$ 2020,999043,34210
251,Oct 23$ 2020,1041075,34508
252,Oct 24$ 2020,1086497,34645
253,Oct 25$ 2020,1138507,34761
254,Oct 26$ 2020,1165278,35018
255,Oct 27$ 2020,1198695,35541
256,Oct 28$ 2020,1235132,35785
257,Oct 29$ 2020,1282769,36020
258,Oct 30$ 2020,1331984,36565
259,Oct 31$ 2020,1367625,36788
260,Nov 01$ 2020,1415852,37019
261,Nov 02$ 2020,1470308,37486
262,Nov 03$ 2020,1508576,38392
263,Nov 04$ 2020,1551072,38829
264,Nov 05$ 2020,1611056,39244
265,Nov 06$ 2020,1673480,40124
266,Nov 07$ 2020,1762270,40480
267,Nov 08$ 2020,1802826,40802
268,Nov 09$ 2020,1824918,41350
269,Nov 10$ 2020,1849035,42207
270,Nov 11$ 2020,1886851,42535
271,Nov 12$ 2020,1921960,42960
272,Nov 13$ 2020,1947691,43892
273,Nov 14$ 2020,1981723,44444
274,Nov 15$ 2020,2010888,44944
275,Nov 16$ 2020,2022231,45648
276,Nov 17$ 2020,2036755,46273
277,Nov 18$ 2020,2065138,46950
278,Nov 19$ 2020,2086288,47631
279,Nov 20$ 2020,2109170,48265
280,Nov 21$ 2020,2127051,48655
281,Nov 22$ 2020,2140208,49007
282,Nov 23$ 2020,2144660,49645
283,Nov 24$ 2020,2153815,50237
284,Nov 25$ 2020,2170097,50806
285,Nov 26$ 2020,2183660,51333
286,Nov 27$ 2020,2196119,51914
287,Nov 28$ 2020,2208699,52230
288,Nov 29$ 2020,2218483,52531
289,Nov 30$ 2020,2222488,53040
290,Dec 01$ 2020,2230571,53506
291,Dec 02$ 2020,2244635,53931
292,Dec 03$ 2020,2257331,54370
293,Dec 04$ 2020,2268552,54767
294,Dec 05$ 2020,2281475,55094
295,Dec 06$ 2020,2292497,55381
296,Dec 07$ 2020,2295908,55861
297,Dec 08$ 2020,2309621,56352
298,Dec 09$ 2020,2324216,56755
299,Dec 10$ 2020,2337966,57155
300,Dec 11$ 2020,2351372,57567
301,Dec 12$ 2020,2365319,57881
302,Dec 13$ 2020,2376852,58152
303,Dec 14$ 2020,2379915,58644
304,Dec 15$ 2020,2391447,59072
305,Dec 16$ 2020,2409062,59479
306,Dec 17$ 2020,2427316,59855
307,Dec 18$ 2020,2442990,60229
308,Dec 19$ 2020,2460555,60523
309,Dec 20$ 2020,2473354,60759
310,Dec 21$ 2020,2479151,61215
311,Dec 22$ 2020,2490946,61702
312,Dec 23$ 2020,2505875,62061
313,Dec 24$ 2020,2527509,62434
314,Dec 25$ 2020,2547771,62676
315,Dec 26$ 2020,2550864,62906
316,Dec 27$ 2020,2559686,63163
317,Dec 28$ 2020,2562646,63610
318,Dec 29$ 2020,2574041,64078
319,Dec 30$ 2020,2600498,64455
320,Dec 31$ 2020,2620425,64780
321,Jan 01$ 2021,2639773,64987
322,Jan 02$ 2021,2643239,65218
323,Jan 03$ 2021,2655728,65409
324,Jan 04$ 2021,2659750,65862
325,Jan 05$ 2021,2680239,66282
326,Jan 06$ 2021,2705618,66669
327,Jan 07$ 2021,2727321,67050
328,Jan 08$ 2021,2747135,67431
329,Jan 09$ 2021,2767312,67695
330,Jan 10$ 2021,2783256,67943
331,Jan 11$ 2021,2786838,68350
332,Jan 12$ 2021,2806590,68802
333,Jan 13$ 2021,2830442,69149
334,Jan 14$ 2021,2851670,69550
335,Jan 15$ 2021,2872941,69949
336,Jan 16$ 2021,2894347,70213
337,Jan 17$ 2021,2910989,70426
338,Jan 18$ 2021,2914725,70901
339,Jan 19$ 2021,2938333,71342
340,Jan 20$ 2021,2965117,71762
341,Jan 21$ 2021,2987965,72218
342,Jan 22$ 2021,3011257,72647
343,Jan 23$ 2021,3035181,72942
344,Jan 24$ 2021,3053617,73179
345,Jan 25$ 2021,3057857,73689
346,Jan 26$ 2021,3079943,74106
347,Jan 27$ 2021,3106859,74611
348,Jan 28$ 2021,3130629,75110
349,Jan 29$ 2021,3153487,75620
350,Jan 30$ 2021,3177879,75942
351,Jan 31$ 2021,3197114,76217
352,Feb 01$ 2021,3201461,76753
353,Feb 02$ 2021,3224798,77238
354,Feb 03$ 2021,3251160,77714
355,Feb 04$ 2021,3274608,78190
356,Feb 05$ 2021,3296747,78603
357,Feb 06$ 2021,3317333,78866
358,Feb 07$ 2021,3337048,79109
359,Feb 08$ 2021,3341365,79639
360,Feb 09$ 2021,3360235,80147
361,Feb 10$ 2021,3385622,80551
362,Feb 11$ 2021,3406685,81019
363,Feb 12$ 2021,3427386,81448
364,Feb 13$ 2021,3448617,81705
365,Feb 14$ 2021,3465163,81931
366,Feb 15$ 2021,3469539,82402
367,Feb 16$ 2021,3489129,82812
368,Feb 17$ 2021,3514147,83203
369,Feb 18$ 2021,3536648,83555
370,Feb 19$ 2021,3560764,83964
371,Feb 20$ 2021,3583135,84177
372,Feb 21$ 2021,3605181,84340
373,Feb 22$ 2021,3609827,84703
374,Feb 23$ 2021,3629891,85044
375,Feb 24$ 2021,3661410,85414
376,Feb 25$ 2021,3686813,85768
377,Feb 26$ 2021,3712020,86147
378,Feb 27$ 2021,3736016,86361
379,Feb 28$ 2021,3755968,86486
380,Mar 01$ 2021,3760671,86890
381,Mar 02$ 2021,3783528,87220
382,Mar 03$ 2021,3810316,87609
383,Mar 04$ 2021,3835595,87969
384,Mar 05$ 2021,3859102,88274
385,Mar 06$ 2021,3882408,88444
386,Mar 07$ 2021,3904233,88574
